@@,itemlabel,item,startdate,enddate
+++,Vytas Navickas,Q2535630,1990-01-17,1991-05-30
+++,Albertas Šimėnas,Q2060714,1991-05-30,1992-07-21
+++,Vytas Navickas,Q2535630,1992-07-21,1992-12-17
+++,Julius Veselka,Q172310,1992-12-17,1994-06-09
+++,Aleksandras Vasiliauskas,Q16443106,1994-06-09,1995-10-05
+++,Vytas Navickas,Q2535630,1995-10-05,1996-03-19
+++,Antanas Kaminskas,Q12648653,1996-03-19,1996-12-10
+++,Vincas Babilius,Q12677643,1996-12-10,1999-06-10
+++,Eugenijus Maldeikis,Q952063,1999-06-10,1999-11-11
+++,Valentinas Milaknis,Q1692738,1999-11-11,2000-11-09
+++,Eugenijus Maldeikis,Q952063,2000-11-09,2001-02-14
+++,Eugenijus Gentvilas,Q204847,2001-02-14,2001-07-12
+++,Petras Čėsna,Q1199943,2001-07-12,2004-12-14
+++,Viktoras Uspaskich,Q1361333,2004-12-14,2005-06-21
+++,Kęstutis Daukšys,Q922691,2005-06-29,2006-07-18
+++,Vytas Navickas,Q2535630,2006-07-18,2008-12-09
+++,Dainius Kreivys,Q1157636,2008-12-09,2011-03-17
+++,Rimantas Žylius,Q1720487,2011-03-17,2012-12-13
+++,Birutė Vėsaitė,Q541252,2012-12-13,2013-06-03
+++,Evaldas Gustas,Q12654203,2013-06-11,2016-12-13
+++,Mindaugas Sinkevičius,Q1936326,2016-12-13,2017-10-13
->,Virginijus Sinkevičius,Q27653570,2017-11-27->2017-11-28,2019-11-30
+++,Rimantas Sinkevičius,Q59723,2020-06-30,2020-12-11
