@@,itemlabel,item,startdate,enddate
+++,Vytautas Knašys,Q1282126,1990-01-17,1991-01-13
+++,Rimvydas Raimondas Survila,Q1341453,1991-01-13,1992-12-02
+++,Rimantas Karazija,Q2153192,1992-12-02,1994-09-26
+++,Vytautas Einoris,Q1193300,1994-09-26,1996-12-04
+++,Vytautas Knašys,Q1282126,1996-12-04,1998-03-25
+++,Edvardas Makelis,Q1156207,1998-03-25,2000-11-27
+++,Kęstutis Kristinaitis,Q1027490,2000-11-27,2001-10-03
+++,Jeronimas Kraujelis,Q1450618,2001-10-03,2004-10-03
+++,Kazimira Prunskienė,Q257779,2004-10-03,2008-11-28
+++,Kazimieras Starkevičius,Q940498,2008-11-28,2012-12-13
+++,Vigilijus Jukna,Q886884,2012-12-13,2014-07-17
+++,Virginija Baltraitienė,Q1395873,2014-07-17,2016-12-13
+++,Bronius Markauskas,Q15268485,2016-12-13,2018-05-08
+++,Giedrius Surplys,Q28937475,2018-05-08,2019-08-20
+++,Andrius Palionis,Q512068,2019-08-20,2020-12-11
->,Kęstutis Navickas (1970)->Kęstutis Navickas,Q27977538,2020-12-11,
