item,itemLabel,startDate,endDate,sourceDate,psid
Q1156207,Edvardas Makelis,1998-03-25,2000-11-27,,Q1156207-17441662-2047-4AEC-8A6A-5485EAB18177
Q1027490,Kęstutis Kristinaitis,2000-11-27,2001-10-03,,Q1027490-008AD336-CFF6-4300-B572-25B07D7EADD2
Q1450618,Jeronimas Kraujelis,2001-10-03,2004-10-03,,Q1450618-1796A32D-9B3C-4CA9-9DAB-7FFFC188915C
Q257779,Kazimira Prunskienė,2004-10-03,2008-11-28,,Q257779-A9033F72-31FB-44A2-948B-0F98F47DFD96
Q940498,Kazys Starkevičius,2008-11-28,2012-12-13,,Q940498-F0047BEC-F89E-4B32-967A-A624990F215A
Q886884,Vigilijus Jukna,2012-12-13,2014-07-17,,Q886884-FEBC1B0F-85B6-4039-973F-DF9E50FEDEF9
Q1395873,Virginija Baltraitienė,2014-07-17,2016-12-13,,Q1395873-D78E9540-7130-4E47-877B-B420F78AF51C
Q15268485,Bronius Markauskas,2016-12-13,2018-05-08,,Q15268485-D7A3C78D-7147-4149-AD30-91BA985A17E9
Q28937475,Giedrius Surplys,2018-05-08,2019-08-20,,Q28937475-3A9E0AAE-E193-4182-8704-C1FAC125C4BA
Q512068,Andrius Palionis,2019-08-20,2020-12-11,,Q512068-4DB4717D-E394-42D9-9342-536F68D0552D
Q27977538,Kęstutis Navickas (1970),2020-12-11,,,Q27977538-9981FBCC-B7E7-41CA-A4C1-9C8F5895ECB2
