@@,itemlabel,item,startdate,enddate
+++,Darius Kuolys,Q1383255,1990-03-17,1992-12-17
+++,Dainius Trinkūnas,Q1282384,1992-12-17,1993-03-31
+++,Dainius Trinkūnas,Q1282384,1993-03-31,1994-11-15
+++,Juozas Nekrošius,Q1193050,1994-11-15,1996-03-19
+++,Juozas Nekrošius,Q1193050,1996-03-19,1996-12-10
+++,Saulius Šaltenis,Q599550,1996-12-10,1999-06-10
+++,Arūnas Bėkšta,Q719244,1999-06-10,1999-11-11
+++,Arūnas Bėkšta,Q719244,1999-11-11,2000-11-09
+++,Gintautas Kėvišas,Q1525188,2000-11-09,2001-07-12
+++,Roma Dovydėnienė,Q541403,2001-07-12,2004-12-14
+++,Vladimiras Prudnikovas,Q981199,2004-12-14,2006-07-18
+++,Jonas Jučas,Q1702974,2006-07-18,2008-12-09
+++,Remigijus Vilkaitis,Q449633,2008-12-09,2010-07-01
->,Arūnas Gelūnas,Q471699,2010->2010-07-01,2012->2012-12-13
+++,Šarūnas Birutis,Q391280,2012-12-13,2016-12-13
+++,Liana Ruokytė-Jonsson,Q27975961,2016-12-13,2018-12-21
+++,Mindaugas Kvietkauskas,Q60336319,2018-12-21,2020-12-11
