item,itemLabel,startDate,endDate,psid
Q1376624,Laurynas Mindaugas Stankevičius,1993-10-21,1994-07-12,Q1376624-9517BE5B-3E78-43FF-9CEE-EF92BB8F4BEA
Q2403957,Teodoras Medaiskis,1992-07-30,1993-10-21,Q2403957-CC0C7681-EC47-418A-8AB9-7785D85280A7
Q270360,Irena Degutienė,1996-12-04,2000-11-09,Q270360-BB9A93CA-1E73-46AF-BCD9-BC1D4E00752A
Q27537109,Monika Navickienė,2020-12-11,,Q27537109-8C19362E-03DD-4D58-B1B5-67C1D4376A48
Q27977694,Linas Kukuraitis,2016-12-13,2020-12-11,Q27977694-D82AC410-8DBA-4801-B1DF-578421347F5A
Q390842,Algis Dobravolskas,1990-03-24,1992-07-30,Q390842-473846C9-1321-4054-9CD8-920E8CFAB6BE
Q390852,Mindaugas Mikaila,1994-07-12,1996-12-04,Q390852-FA184A36-5AAE-4556-B9C1-701C5F338522
Q435394,Vilija Blinkevičiūtė,2000-10-30,2008-12-09,Q435394-3B8CD7CA-4C2D-4081-AA1C-F99CEE17C5C7
Q562964,Rimantas Dagys,2008-12-09,2009-07-22,Q562964-1E0F0843-9CE2-4A47-BF1B-9C6A44AEFB69
Q82512,Donatas Jankauskas,2009-07-22,2012-12-13,Q82512-687DE014-68E9-4EC8-BB43-3ECF1FB0E046
Q886872,Algimanta Pabedinskienė,2012-12-13,2016-12-13,Q886872-936FA3B2-C13D-4BC7-9292-49B9F1E6A695
