position,person,personID,start,end
President,Valdas Adamkus,Q153167,1998-02-26,2003-02-26
President,Rolandas Paksas,Q296956,2003-02-26,2004-04-06
President,Artūras Paulauskas,Q356704,2004-04-06,2004-07-12
President,Valdas Adamkus,Q153167,2004-07-12,2009-07-12
President,Dalia Grybauskaitė,Q57379,2009-07-12,2019-07-12
President,Gitanas Nausėda,Q9268379,2019-07-12,
Prime Minister,Andrius Kubilius,Q57663,1999-11-03,2000-10-26
Prime Minister,Rolandas Paksas,Q296956,2000-10-26,2001-06-20
Prime Minister,Eugenijus Gentvilas,Q204847,2001-06-20,2001-07-03
Prime Minister,Algirdas Brazauskas,Q212751,2001-07-03,2006-05-31
Prime Minister,Zigmantas Balčytis,Q117150,2006-05-31,2006-07-04
Prime Minister,Zigmantas Balčytis,Q117150,2006-06-01,2006-07-04
Prime Minister,Gediminas Kirkilas,Q118937,2006-07-04,2008-11-26
Prime Minister,Andrius Kubilius,Q57663,2008-11-26,2012-11-22
Prime Minister,Algirdas Butkevičius,Q394006,2012-11-22,2016-11-22
Prime Minister,Saulius Skvernelis,Q1797508,2016-11-22,2020-11-25
Prime Minister,Ingrida Šimonytė,Q437096,2020-11-25,
Minister of Agriculture,Edvardas Makelis,Q1156207,1998-03-25,2000-11-27
Minister of Agriculture,Kęstutis Kristinaitis,Q1027490,2000-11-27,2001-10-03
Minister of Agriculture,Jeronimas Kraujelis,Q1450618,2001-10-03,2004-10-03
Minister of Agriculture,Kazimira Prunskienė,Q257779,2004-10-03,2008-11-28
Minister of Agriculture,Kazys Starkevičius,Q940498,2008-11-28,2012-12-13
Minister of Agriculture,Vigilijus Jukna,Q886884,2012-12-13,2014-07-17
Minister of Agriculture,Virginija Baltraitienė,Q1395873,2014-07-17,2016-12-13
Minister of Agriculture,Bronius Markauskas,Q15268485,2016-12-13,2018-05-08
Minister of Agriculture,Giedrius Surplys,Q28937475,2018-05-08,2019-08-20
Minister of Agriculture,Andrius Palionis,Q512068,2019-08-20,2020-12-11
Minister of Agriculture,Kęstutis Navickas,Q27977538,2020-12-11,
Minister of Culture,Arūnas Bėkšta,Q719244,1999-11-11,2000-11-09
Minister of Culture,Gintautas Kėvišas,Q1525188,2000-11-09,2001-07-12
Minister of Culture,Roma Žakaitienė,Q541403,2001-07-12,2004-12-14
Minister of Culture,Vladimiras Prudnikovas,Q981199,2004-12-14,2006-07-18
Minister of Culture,Jonas Jučas,Q1702974,2006-07-18,2008-12-09
Minister of Culture,Remigijus Vilkaitis,Q449633,2008-12-09,2010-07-01
Minister of Culture,Arūnas Gelūnas,Q471699,2010,2012
Minister of Culture,Šarūnas Birutis,Q391280,2012-12-13,2016-12-13
Minister of Culture,Liana Ruokytė-Jonsson,Q27975961,2016-12-13,2018-12-21
Minister of Culture,Mindaugas Kvietkauskas,Q60336319,2018-12-21,2020-12-11
Minister of Culture,Simonas Kairys,Q16472414,2020-12-11,
Minister of Economy and Innovation,Valentinas Milaknis,Q1692738,1999-11-11,2000-11-09
Minister of Economy and Innovation,Eugenijus Maldeikis,Q952063,2000-11-09,2001-02-14
Minister of Economy and Innovation,Eugenijus Gentvilas,Q204847,2001-02-14,2001-07-12
Minister of Economy and Innovation,Petras Čėsna,Q1199943,2001-07-12,2004-12-14
Minister of Economy and Innovation,Viktor Uspaskich,Q1361333,2004-12-14,2005-06-21
Minister of Economy and Innovation,Kęstutis Daukšys,Q922691,2005-06-29,2006-07-18
Minister of Economy and Innovation,Vytas Navickas,Q2535630,2006-07-18,2008-12-09
Minister of Economy and Innovation,Dainius Kreivys,Q1157636,2008-12-09,2011-03-17
Minister of Economy and Innovation,Rimantas Žylius,Q1720487,2011-03-17,2012-12-13
Minister of Economy and Innovation,Birutė Vėsaitė,Q541252,2012-12-13,2013-06-03
Minister of Economy and Innovation,Evaldas Gustas,Q12654203,2013-06-11,2016-12-13
Minister of Economy and Innovation,Mindaugas Sinkevičius,Q1936326,2016-12-13,2017-10-13
Minister of Economy and Innovation,Virginijus Sinkevičius,Q27653570,2017-11-27,2019-11-30
Minister of Economy and Innovation,Rimantas Sinkevičius,Q59723,2020-06-30,2020-12-11
Minister of Economy and Innovation,Aušrinė Armonaitė,Q27808316,2020-12-11,
Minister of Education and Science,Kornelijus Platelis,Q1342062,1998-05-01,2000-11-09
Minister of Education and Science,Algirdas Monkevičius,Q922619,2000-11-09,2004-12-14
Minister of Education and Science,Remigijus Motuzas,Q981076,2004-12-14,2006-07-18
Minister of Education and Science,Roma Žakaitienė,Q541403,2006-07-18,2008-05-27
Minister of Education and Science,Algirdas Monkevičius,Q922619,2008-05-27,2008-12-09
Minister of Education and Science,Gintaras Steponavičius,Q1525171,2008-12-09,2012-12-13
Minister of Education and Science,Dainius Pavalkis,Q887118,2012-12-13,2015-05-11
Minister of Education and Science,Audronė Pitrėnienė,Q759040,2015-06-02,2016-12-13
"Minister of Education, Science and Sport",Jurgita Petrauskienė,Q27977685,2016-12-13,2018-12-07
"Minister of Education, Science and Sport",Algirdas Monkevičius,Q922619,2019-01-15,2020-12-11
"Minister of Education, Science and Sport",Jurgita Šiugždinienė,Q101429324,2020-12-11,
Minister of Energy,Arvydas Sekmokas,Q110635,2009-02-10,2012-12-13
Minister of Energy,Jarosław Niewierowicz,Q990707,2012-12-13,2014-08-25
Minister of Energy,Rokas Masiulis,Q18222912,2014-09-25,2016-12-13
Minister of Energy,Žygimantas Vaičiūnas,Q6338632,2016-12-13,2020-12-11
Minister of Energy,Dainius Kreivys,Q1157636,2020-12-11,
Minister of Environment,Danius Lygis,Q1164163,1999-11-11,2000-11-09
Minister of Environment,Henrikas Žukauskas,Q1606341,2000-11-09,2001-07-12
Minister of Environment,Arūnas Kundrotas,Q719259,2001-07-12,2004-12-14
Minister of Environment,Arūnas Kundrotas,Q719259,2004-12-14,2006-07-18
Minister of Environment,Arūnas Kundrotas,Q719259,2006-07-18,2008-01-31
Minister of Environment,Artūras Paulauskas,Q356704,2008-01-31,2008-12-09
Minister of Environment,Gediminas Kazlauskas,Q940487,2008-12-09,2012-12-13
Minister of Environment,Valentinas Mazuronis,Q557932,2012-12-13,2014-06-15
Minister of Environment,Kęstutis Trečiokas,Q4163510,2014-07-17,2016-12-13
Minister of Environment,Kęstutis Navickas,Q27977538,2016-12-13,2018-12-07
Minister of Environment,Kęstutis Mažeika,Q28371741,2019-04-04,2020-12-11
Minister of Environment,Simonas Gentvilas,Q27577960,2020-12-11,
Minister of Finance,Vytautas Dudėnas,Q1193309,1999-11-11,2000-11-09
Minister of Finance,Jonas Lionginas,Q1156213,2000-11-09,2001-07-12
Minister of Finance,Dalia Grybauskaitė,Q57379,2001-07-12,2004-04-30
Minister of Finance,Algirdas Butkevičius,Q394006,2004-05-04,2005-05-14
Minister of Finance,Zigmantas Balčytis,Q117150,2005-07-18,2007-05-16
Minister of Finance,Rimantas Šadžius,Q1563291,2007-05-16,2008-12-09
Minister of Finance,Algirdas Šemeta,Q519077,2008-12-09,2009-06-30
Minister of Finance,Ingrida Šimonytė,Q437096,2009-07-07,2012-12-13
Minister of Finance,Rimantas Šadžius,Q1563291,2012-12-13,2016-06-20
Minister of Finance,Rasa Budbergytė,Q12670942,2016-06-23,2016-12-13
Minister of Finance,Vilius Šapoka,Q16476234,2016-12-13,2020-12-11
Minister of Finance,Gintarė Skaistė,Q27833521,2020-12-11,
Minister of Foreign Affairs,Algirdas Saudargas,Q556409,1996-12-10,2000-11-09
Minister of Foreign Affairs,Antanas Valionis,Q571063,2000-11-09,2006-07-18
Minister of Foreign Affairs,Petras Vaitiekūnas,Q589989,2006-07-12,2008-12-09
Minister of Foreign Affairs,Vygaudas Ušackas,Q983985,2008-12-09,2010-01-26
Minister of Foreign Affairs,Audronius Ažubalis,Q58201,2010-02-11,2012-12-13
Minister of Foreign Affairs,Linas Linkevičius,Q345625,2012-12-13,2020-12-11
Minister of Foreign Affairs,Gabrielius Landsbergis,Q17118365,2020-12-11,
Minister of Health,Raimundas Alekna,Q766701,1999-06-10,2000-11-09
Minister of Health,Vinsas Janušonis,Q1304208,2000-11-09,2001-04-02
Minister of Health,Konstantinas Romualdas Dobrovolskis,Q1027481,2001-05-15,2003-03-06
Minister of Health,Juozas Olekas,Q1376538,2003-03-10,2004-11-29
Minister of Health,Žilvinas Padaiga,Q394068,2004-12-14,2006-07-18
Minister of Health,Rimvydas Turčinskas,Q980933,2006-07-18,2008-07-14
Minister of Health,Gediminas Černiauskas,Q981104,2008-07-14,2008-12-09
Minister of Health,Algis Čaplikas,Q725287,2008-12-09,2010-03-10
Minister of Health,Raimondas Šukys,Q1685267,2010-03-10,2012-12-13
Minister of Health,Vytenis Andriukaitis,Q774300,2012-12-13,2014-07-14
Minister of Health,Rimantė Šalaševičiūtė,Q6556452,2014-07-17,2016-02-17
Minister of Health,Juras Požela,Q3660989,2016-03-15,2016-10-16
