@@,itemlabel,item,startdate,enddate
+++,Vladislavas Domarkas,Q1193335,1994-06-09,1996-12-10
+++,Zigmas Zinkevičius,Q47011,1996-12-10,1998-05-01
+++,Kornelijus Platelis,Q1342062,1998-05-01,2000-11-09
+++,Algirdas Monkevičius,Q922619,2000-11-09,2004-12-14
+++,Remigijus Motuzas,Q981076,2004-12-14,2006-07-18
+++,Roma Žakaitienė,Q541403,2006-07-18,2008-05-27
+++,Algirdas Monkevičius,Q922619,2008-05-27,2008-12-09
+++,Gintaras Steponavičius,Q1525171,2008-12-09,2012-12-13
+++,Dainius Pavalkis,Q887118,2012-12-13,2015-05-11
+++,Audronė Pitrėnienė,Q759040,2015-06-02,2016-12-13
---,Jurgita Petrauskienė,Q27977685,2016-12-13,2018-12-07
