@@,itemlabel,item,startdate,enddate
+++,Jonas Biržiškis,Q1193056,1990-03-17,1996-12-10
+++,Algis Žvaliauskas,Q2542302,1996-12-10,1998-11-25
+++,Rimantas Didžiokas,Q1156203,1999-01-06,2000-11-09
+++,Gintaras Striaukas,Q1327529,2000-11-09,2001-01-24
+++,Dailis Alfonsas Barakauskas,Q887795,2001-01-24,2001-07-12
+++,Zigmantas Balčytis,Q117150,2001-07-12,2005-05-14
+++,Petras Čėsna,Q1199943,2005-06-10,2006-07-18
+++,Algirdas Butkevičius,Q394006,2006-07-18,2008-12-09
+++,Eligijus Masiulis,Q371858,2008-12-09,2012-12-13
+++,Rimantas Sinkevičius,Q59723,2012-12-13,2016-12-13
+++,Rokas Masiulis,Q18222912,2016-12-13,2019-08-07
+++,Jaroslav Narkevič,Q1282407,2019-08-07,2020-12-11
