item,itemLabel,startDate,endDate
Q1193056,Jonas Biržiškis,1990-03-17,1996-12-10
Q2542302,Algis Žvaliauskas,1996-12-10,1998-11-25
Q1156203,Rimantas Didžiokas,1999-01-06,2000-11-09
Q1327529,Gintaras Striaukas,2000-11-09,2001-01-24
Q887795,Dailis Alfonsas Barakauskas,2001-01-24,2001-07-12
Q117150,Zigmantas Balčytis,2001-07-12,2005-05-14
Q1199943,Petras Čėsna,2005-06-10,2006-07-18
Q394006,Algirdas Butkevičius,2006-07-18,2008-12-09
Q371858,Eligijus Masiulis,2008-12-09,2012-12-13
Q59723,Rimantas Sinkevičius,2012-12-13,2016-12-13
Q18222912,Rokas Masiulis,2016-12-13,2019-08-07
Q1282407,Jaroslav Narkevič,2019-08-07,2020-12-11
Q47237500,Marius Skuodis,2020-12-11,
