@@,itemlabel,item,startdate,enddate
+++,Romualdas Sikorskis,Q1309934,1990-01-17,1991-01-13
+++,Elvyra Janina Kunevičienė,Q1334341,1991-01-13,1992-07-21
+++,Audrius Misevičius,Q1383175,1992-07-21,1992-12-17
+++,Eduardas Vilkelis,Q1124482,1992-12-17,1995-02-10
+++,Vytautas Einoris,Q1193300,1995-02-10,1996-03-19
+++,Algimantas Križinauskas,Q1193071,1996-03-19,1996-12-10
+++,Rolandas Matiliauskas,,1996-12-10,1997-02-03
->,Algirdas Gediminas Šemeta->Algirdas Šemeta,Q519077,1997-02-19,1999-06-01->1999-06-10
+++,Jonas Lionginas,Q1156213,1999-06-10,1999-11-11
+++,Vytautas Dudėnas,Q1193309,1999-11-11,2000-11-09
+++,Jonas Lionginas,Q1156213,2000-11-09,2001-07-12
+++,Dalia Grybauskaitė,Q57379,2001-07-12,2004-04-30
+++,Algirdas Butkevičius,Q394006,2004-05-04,2005-05-14
+++,Zigmantas Balčytis,Q117150,2005-07-18,2007-05-16
->,Algirdas Gediminas Šemeta->Algirdas Šemeta,Q519077,2008-12-09,2009-06-30
+++,Ingrida Šimonytė,Q437096,2009-07-03,2012-12-13
->,Rimantas Šadžius,Q1563291,2012-12-13,2016-06-20->2016-06-15
