item,itemLabel,startDate,endDate
Q1819142,Leonas Vaidotas Ašmantas,1990-03-17,1993-03-10
Q1228507,Algimantas Vladas Stasiukynas,1993-03-10,1995-05-15
Q717565,Arvydas Kostas Leščinskas,1995-05-15,1996-02-23
Q1634804,Saulius Aloyzas Bernardas Kutas,1996-02-23,1996-12-19
Q110635,Arvydas Sekmokas,2009-02-10,2012-12-13
Q990707,Jaroslav Neverovič,2012-12-13,2014-08-25
Q18222912,Rokas Masiulis,2014-09-25,2016-12-13
Q6338632,Žygimantas Vaičiūnas,2016-12-13,2020-12-11
Q1157636,Dainius Kreivys,2020-12-11,
