@@,name,position
---,Ingrida Šimonytė,Prime Minister of Lithuania
+++,Agnė Bilotaitė,Minister of the Interior
+++,Marius Skuodis,Minister of Transport and Communications
+++,Monika Navickienė,Minister of Social Security and Labour
+++,Arvydas Anušauskas,Minister of National Defence
+++,Evelina Dobrovolska,Minister of Justice
+++,Arūnas Dulkys,Minister of Health
+++,Gintarė Skaistė,Minister of Finance
+++,Simonas Gentvilas,Minister of Environment
+++,Dainius Kreivys,Minister of Energy
+++,Jurgita Šiugždinienė,"Minister of Education, Science and Sport"
+++,Aušrinė Armonaitė,Minister of Economy and Innovation
+++,Simonas Kairys,Minister of Culture
+++,Kęstutis Navickas,Minister of Agriculture
