@@,itemlabel,item,startdate,enddate
+++,Pranas Kūris,Q720673,1990-01-17,1991-01-13
+++,Vytautas Pakalniškis,Q2535687,1991-01-13,1992-07-21
+++,Zenonas Juknevičius,Q189778,1992-07-21,1992-12-17
+++,Jonas Prapiestis,Q338415,1992-12-17,1996-03-19
+++,Vytautas Pakalniškis,Q2535687,1996-12-10,1999-06-10
+++,Gintaras Balčiūnas,Q725294,1999-06-10,2000-11-09
+++,Gintautas Bartkus,Q348304,2000-11-09,2001-07-12
+++,Vytautas Markevičius,Q2535667,2001-07-12,2004-12-14
+++,Gintautas Bužinskas,Q1525184,2004-12-14,2006-07-18
+++,Petras Baguška,Q2080454,2006-07-18,2008-12-09
->,Juozas Bernatonis,Q1305783->Q12658459,2012-12-13,2016-12-13
