@@,itemlabel,item,startdate,enddate
+++,Bronius Bradauskas,Q927567,1993-03-31,1996-03-19
+++,Bronius Bradauskas,Q927567,1996-03-19,1996-12-10
+++,Imantas Lazdinis,Q339092,1996-12-10,1998-03-25
+++,Algis Čaplikas,Q725287,1998-03-25,1999-03-05
+++,Danius Lygis,Q1164163,1999-04-08,1999-06-10
+++,Danius Lygis,Q1164163,1999-06-10,1999-11-11
+++,Danius Lygis,Q1164163,1999-11-11,2000-11-09
+++,Henrikas Žukauskas,Q1606341,2000-11-09,2001-07-12
+++,Arūnas Kundrotas,Q719259,2001-07-12,2004-12-14
+++,Arūnas Kundrotas,Q719259,2004-12-14,2006-07-18
+++,Arūnas Kundrotas,Q719259,2006-07-18,2008-01-31
+++,Artūras Paulauskas,Q356704,2008-01-31,2008-12-09
+++,Gediminas Kazlauskas,Q940487,2008-12-09,2012-12-13
+++,Valentinas Mazuronis,Q557932,2012-12-13,2014-06-15
+++,Kęstutis Trečiokas,Q4163510,2014-07-17,2016-12-13
->,Kęstutis Navickas (1970)->Kęstutis Navickas,Q27977538,2016-12-13,2018-12-07
+++,Kęstutis Mažeika,Q28371741,2019-04-04,2020-12-11
