item,itemLabel,startDate,endDate
Q725294,Gintaras Balčiūnas,1999-06-10,2000-11-09
Q348304,Gintautas Bartkus,2000-11-09,2001-07-12
Q2535667,Vytautas Markevičius,2001-07-12,2004-12-14
Q1525184,Gintautas Bužinskas,2004-12-14,2006-07-18
Q2080454,Petras Baguška,2006-07-18,2008-12-09
Q1397662,Remigijus Šimašius,2008-12-09,2012-12-13
Q1305783,Juozas Bernatonis,2012-12-13,2016-12-13
Q27975841,Milda Vainiutė,2016-12-13,2018-03-06
Q3562431,Elvinas Jankevičius,2018-05-15,2020-12-11
Q100435418,Evelina Dobrovolska,2020-12-11,
