@@,itemlabel,item,startdate,enddate
+++,Vytautas Kriauza,Q1383185,1992-12-17,1993-03-31
+++,Jurgis Brėdikis,Q1713860,1993-03-31,1994-11-10
+++,Juozas Galdikas,Q1203809,1996-12-10,1998-03-25
->,Laurynas Mindaugas Stankevičius->Laurynas Stankevičius,Q1376624->NULL,1998-03-25,1999-06-10
+++,Raimundas Alekna,Q766701,1999-06-10,2000-11-09
+++,Vinsas Janušonis,Q1304208,2000-11-09,2001-04-02
->,Konstantinas Romualdas Dobrovolskis->Konstantinas Dobrovolskis,Q1027481,2001-05-15,2003-03-06
+++,Juozas Olekas,Q1376538,2003-03-06,2004-12-14
---,Juozas Olekas,Q1376538,2003-03-10,2004-11-29
->,Algis Čaplikas,Q725287,2008-12-09,2010-03-10->2010-02-22
->,Raimondas Šukys,Q1685267,2010-03-10->2010-02-22,2012-12-13
->,Vytenis Andriukaitis,Q774300,2012-12-13,2014-07-14->2014-07-17
->,Juras Požela,Q3660989->Q12658745,2016-03-15->2016-03-10,2016-10-16
