pageid,title
21604068,Dainius Kreivys
35273560,Remigijus Šimašius
41899866,Ingrida Šimonytė
48218977,Gabrielius Landsbergis
52284104,Viktoras Pranckietis
55933030,Agnė Bilotaitė
58519561,Gitanas Nausėda
60927518,Aušrinė Armonaitė
61636243,Diana Nausėdienė
61771416,Arvydas Anušauskas
65802212,Monika Navickienė
65802441,Jurgita Šiugždinienė
65806231,Gintarė Skaistė
65873510,Simonas Kairys
65873779,Simonas Gentvilas
65874050,Arūnas Dulkys
65874270,Evelina Dobrovolska
66015030,Marius Skuodis
66030173,Kęstutis Navickas (1970)
67771594,Valdemaras Rupšys
